working,24
with,3
one,17
of,100
the,7
best,4
shakespeare,1
sources,1
this,7
film,12
manages,92
to,29
be,49
creditable,4
its,1
source,10
whilst,2
still,7
appealing,5
a,14
wider,10
audiencebr,1
br,1
branagh,1
steals,24
from,22
under,4
fishburnes,1
nose,1
and,27
theres,1
talented,17
cast,5
on,9
good,7
form,4
welltremors,1
i,1
original,1
started,4
off,5
in,14
1990,1
found,44
movie,1
quite,2
enjoyable,10
watch,17
however,1
they,2
proceeded,12
make,37
tremors,1
ii,1
iii,1
trust,2
me,2
those,9
movies,1
going,18
downhill,9
right,3
after,1
finished,9
first,15
mean,5
ass,3
blasters,1
now,2
only,6
god,4
himself,2
is,25
capable,52
answering,11
question,2
why,4
gods,1
name,6
would,52
create,3
another,2
these,23
dumpster,1
dives,5
iv,1
cannot,35
considered,1
bad,5
fact,1
it,1
even,2
an,17
epitome,9
for,15
lives,3
up,8
more,44
than,65
that,12
as,8
attempted,24
sit,27
though,1
noticed,5
my,1
eyes,5
bleed,1
hoped,12
profusely,2
little,16
girl,1
ring,2
crawl,6
through,9
tv,1
kill,2
did,6
really,21
think,8
dressing,18
people,3
who,4
had,2
stared,8
other,19
were,38
wild,1
west,1
exact,1
same,30
occurrences,2
ouch,1
was,19
bit,4
painful,1
has,134
cute,1
amusing,1
premise,1
but,6
all,2
goes,16
hell,1
there,5
matthew,1
modine,1
almost,8
always,19
pedestrian,2
annoying,3
he,1
does,7
not,2
disappoint,5
deborah,1
kara,1
unger,1
john,1
neville,1
turned,21
surprisingly,5
decent,18
performances,1
alan,1
bates,1
ive,1
seen,7
some,5
crappy,5
life,1
must,1
among,6
very,13
worst,1
definately,2
bottom,1
100,1
material,2
imo,1
isbr,1
we,6
follow,5
two,1
couples,1
dodds,1
billy,1
bob,1
thornton,1
lonnie,1
earl,1
natasha,1
richardson,1
darlene,1
kirkendalls,1
patrick,1
swayze,1
roy,1
charlize,1
theron,1
candy,1
car,1
roadtrip,1
renobr,1
apparently,1
isnt,1
too,8
happy,6
his,8
sexlife,1
so,1
cheats,9
wife,6
whos,1
despirately,1
trying,23
have,40
baby,1
meanwhile,1
sure,5
if,1
sperm,7
ok,1
hes,1
getting,16
checked,3
by,11
doctorbr,1
read,1
back,2
dvd,1
girlfriend,8
didnt,1
she,5
blurted,3
out,1
about,4
20,1
minutes,1
oh,1
yeah,1
shes,1
gonna,3
end,3
pregnant,1
her,7
husband,1
cant,1
any,45
babys,1
spot,3
soooo,1
predictable,3
well,3
boring,3
