for,48
a,5
movie,3
that,48
gets,49
no,7
respect,6
there,2
sure,2
are,88
lot,24
of,72
memorable,1
quotes,2
listed,11
this,6
gem,3
imagine,12
where,16
joe,1
piscopo,1
is,38
actually,2
funny,1
maureen,1
stapleton,1
scene,10
stealer,6
the,3
moroni,1
character,8
an,4
absolute,63
scream,1
bizarre,4
horror,10
filled,26
with,58
famous,7
faces,7
but,4
stolen,2
by,7
cristina,1
raines,1
later,3
tvs,1
flamingo,1
road,3
as,12
pretty,17
somewhat,23
unstable,11
model,4
gummy,2
smile,1
who,7
slated,6
to,5
pay,9
her,7
attempted,1
suicides,1
guarding,7
gateway,6
hell,1
scenes,7
modeling,4
very,15
well,7
captured,14
mood,8
music,8
perfect,1
deborah,1
raffin,1
charming,4
cristinas,1
pal,1
when,1
moves,28
into,84
creepy,8
brooklyn,1
heights,1
brownstone,3
inhabited,2
blind,4
priest,1
on,6
top,2
floor,1
things,3
really,3
start,5
cooking,1
neighbors,1
including,1
fantastically,7
wicked,1
burgess,1
meredith,1
and,21
kinky,9
couple,2
sylvia,1
miles,1
beverly,1
dangelo,1
diabolical,2
eli,1
wallach,1
great,3
fun,1
wily,5
police,6
detective,9
nearly,25
crosspollination,1
rosemarys,1
baby,6
exorcistbut,1
what,1
combination,14
based,3
bestseller,1
jeffrey,1
konvitz,1
sentinel,1
entertainingly,2
spooky,2
full,1
shocks,6
brought,184
off,3
director,9
michael,1
winner,2
mounts,3
thoughtfully,5
downbeat,3
ending,2
skill,1
12,1
from,7
solid,2
if,1
unremarkable,1
film,2
matthau,1
einstein,1
was,18
wonderful,3
my,6
favorite,33
part,1
only,21
thing,4
would,10
make,4
me,2
go,12
out,2
way,2
see,24
again,1
physicists,3
playing,8
badmitton,1
i,1
loved,10
sweaters,1
conversation,2
while,1
they,6
waited,25
robbins,1
retrieve,13
birdie,1
its,1
strange,5
feeling,2
sit,4
alone,2
in,36
theater,3
occupied,18
parents,1
their,57
rollicking,6
kids,4
felt,2
like,29
instead,2
ticket,9
should,3
have,96
been,120
given,14
nambla,1
membershipbr,1
br,1
upon,3
thomas,1
rockwells,1
respected,12
book,1
how,10
eat,27
fried,1
worms,1
starts,60
any,57
childrens,1
story,4
moving,6
new,3
town,1
kid,5
fifth,14
grader,1
billy,1
forrester,1
once,4
popular,6
has,130
anew,1
making,12
friends,3
never,62
easy,15
especially,9
prospect,3
poindexter,1
adam,1
or,5
erica,1
at,2
4,1
feet,4
giantbr,1
further,1
complicating,2
bully,5
his,18
freckled,1
face,3
sleeveless,1
shirts,2
daunting,1
he,2
antagonizes,1
death,1
ring,10
crackerjack,1
rumored,8
kill,3
you,1
youre,1
punched,2
it,2
not,4
immediately,1
unleashes,4
poison,1
kills,2
eight,1
gradebr,1
axis,4
evil,3
welcome,2
smuggling,5
handful,32
slimy,2
thermos,1
discovered,10
plays,11
cool,1
swearing,2
eats,21
all,4
time,2
then,4
throws,37
them,1
joes,1
ewww,1
win,18
over,10
reluctantly,4
bets,3
can,13
10,3
boiled,1
marinated,1
hot,1
sauce,1
squashed,1
spread,23
peanut,3
butter,4
sandwich,3
each,1
meal,1
dubbed,2
exotic,4
name,2
radioactive,12
slime,4
delight,16
which,16
finally,2
live,1
dream,1
microwaving,1
living,8
organismbr,1
youve,1
ever,1
met,3
youll,1
know,6
uncontrollably,2
hearty,4
laugh,6
creep,2
erupting,4
toddler,1
whining,5
dilly,1
dick,1
hurts,5
wonderfully,9
disgusting,1
grated,1
farrelly,1
brothers,1
both,3
vomitous,1
delightfulbr,1
writerdirector,1
bob,1
dolman,1
also,6
savvy,1
storyteller,2
raise,2
stakes,6
must,21
be,25
consumed,13
7,12
pm,2
addition,13
holds,13
dark,2
secret,4
ultrasensitive,1
stomachbr,1
keen,22
sense,2
perspective,6
such,12
accuracy,2
draws,40
insecurities,1
tendency,7
exaggerate,5
mundane,1
dilemmasbr,1
were,18
hyperbolize,1
probably,1
already,5
now,2
5,3
additional,28
episodes,3
aired,1
viewed,3
abccom,1
ive,1
watched,56
television,1
years,3
possibly,11
show,3
crime,1
beautifully,5
written,5
acted,3
canceled,2
actors,1
played,9
laura,1
whit,1
carlos,1
mae,1
damian,1
anya,1
omg,1
steven,1
caseman,1
incredible,10
so,2
natural,1
those,9
roles,3
even,5
sad,2
gone,2
course,2
wonder,13
about,2
reasons,7
ill,1
let,5
myself,2
believe,15
ms,1
moynahans,1
pregnancy,1
had,23
anything,7
do,11
slot,5
market,4
hope,1
come,9
dvd,1
some,15
day,3
thanks,2
reading,7
saw,56
two,16
grown,38
children,3
although,1
clever,6
shrek,1
thought,17
rather,3
good,1
theatre,1
surrounded,17
spring,2
break,10
sound,24
liked,10
seemed,24
engaged,6
apparent,5
characters,2
appropriate,5
gasps,2
comments,3
hopefully,4
people,2
realize,13
made,2
successful,14
too,1
personally,5
scrat,1
using,6
imdbbr,1
hefty,3
votes,6
your,10
favourite,19
filmsbr,1
something,8
enjoy,25
doingbr,1
because,9
fifty,4
seconds,1
one,7
world,1
ends,11
another,1
beginsbr,1
ten,1
give,41
seven,1
exactly,10
could,23
first,1
better,1
record,1
long,3
still,5
opening,1
shot,2
showmanship,1
superb,1
innovation,2
perfectly,3
suited,15
situation,2
dog,1
bike,2
lovely,6
touch,2
within,5
secondsbr,1
word,3
genius,1
often,20
overusedbr,1
powerful,8
message,5
love,2
redemption,1
transformation,4
brother,2
repercussions,4
horrible,1
disease,3
family,9
wellacted,1
welldirected,1
flaws,1
id,1
say,5
showed,123
typical,6
suburban,29
difficulties,10
cultural,3
backgrounds,5
these,2
cultures,1
shown,17
real,8
life,1
nevertheless,1
soared,1
terms,2
values,2
understanding,3
after,5
quartet,1
trio,2
continued,10
quality,1
earlier,1
versions,3
short,1
stories,2
maugham,1
here,9
three,3
verger,1
mr,1
knowitall,1
sanitorium,1
comic,13
prolonged,3
joke,2
payoff,2
last,1
more,2
serious,2
health,2
issues,2
involved,2
author,1
introduces,15
storiesbr,1
james,1
hayter,1
soon,2
signature,5
role,1
samuel,1
pickwick,1
hero,5
small,3
custodialtype,1
job,1
church,4
vicar,2
hordern,1
intellectual,1
snob,2
hears,22
schooling,2
fires,5
him,1
saved,2
money,1
tells,247
wife,2
kathleen,1
harrison,1
fancies,2
buying,1
news,9
tobacco,3
shop,3
eye,3
store,4
thrives,3
whole,24
chain,4
stores,5
grandchild,1
christened,2
latter,2
amazed,2
prosperous,1
exverger,1
mature,4
man,1
admit,8
shed,4
tear,9
response,5
filmbr,1
need,12
perhaps,2
same,5
viewing,5
advent,6
moved,8
us,2
next,13
levelbr,1
aileen,1
gonsalves,1
girlfriend,2
secretary,1
main,8
bank,3
she,2
roshan,1
seth,1
restaurant,4
theres,1
information,2
website,1
having,1
stated,4
personal,6
interest,1
think,30
beautiful,3
filmed,2
jonathan,1
demmes,1
directorial,14
debut,2
roger,1
cormans,1
legendary,7
exploitation,2
outfit,6
pictures,4
rates,3
highly,7
finest,9
chicksinchains,1
70s,1
grindhouse,1
classics,1
grace,1
celluloid,2
beauteous,2
russ,1
meyer,1
starlet,6
eric,1
vixen,1
beyond,12
valley,1
dolls,1
gavin,1
gives,71
robust,1
winning,8
performance,3
brassy,3
resilient,1
fish,1
does,8
best,2
persevere,2
grimy,7
hellish,4
penitentiary,1
always,11
fabulous,2
barbara,1
steele,1
offers,1
deliciously,1
portrayal,11
mean,2
crippled,5
sexually,1
frustrated,7
warden,1
erotic,3
doing,8
slow,2
steamy,5
striptease,1
front,3
lady,4
inmates,9
longtime,1
bmovie,1
actress,1
roberta,1
arousers,1
unholy,3
rollers,1
collins,1
delivers,11
rented,6
watch,15
knew,17
going,26
mindbender,1
disbelief,2
reality,6
someone,5
get,1
beating,9
worked,1
kurt,1
russel,1
did,10
though,1
remarkable,9
showing,4
emotionless,4
soldier,1
recommend,2
boys,4
want,9
action,3
hard,3
sometimes,1
why,7
effective,5
moment,3
came,19
across,31
stone,1
boy,3
told,2
spite,8
unlikely,2
opportunity,8
looking,25
through,8
online,1
catalogue,5
local,47
library,2
recently,3
purchased,7
release,1
im,1
extremely,9
glad,34
cinematography,4
stunning,2
depth,2
old,1
vhs,1
copy,3
replicatebr,1
speaking,4
single,8
far,2
above,1
most,9
aspect,2
photographer,6
pursues,11
exact,2
visual,4
style,2
portrayed,5
firm,10
believer,4
fact,17
cinematographer,10
almost,4
singlehandedly,1
carry,14
help,4
talented,9
cast,6
understands,2
needs,3
juan,1
ruiz,1
anchía,1
behind,16
camera,8
makes,15
virtually,23
every,9
beauty,2
films,4
expect,3
captures,1
detail,2
little,8
bit,12
magic,1
takes,22
breath,1
awaybr,1
christopher,1
cain,1
interesting,5
career,1
gather,21
representative,5
catch,2
near,6
beginnings,11
before,1
big,2
budgets,2
loss,4
focus,24
subtle,6
found,29
steps,13
back,1
lets,1
happen,5
own,1
much,9
early,24
john,1
sayles,1
space,1
breathe,10
talk,1
side,4
thats,1
displays,32
raw,1
outright,1
painful,2
human,35
nature,8
acting,2
ties,1
together,2
exist,2
actual,50
held,6
gina,1
berriaults,1
script,2
allows,22
immensely,2
wilford,1
brimley,1
robert,1
duvall,1
glenn,1
close,4
frederic,1
forrest,1
spend,7
simply,23
existing,12
whether,5
minor,13
deep,3
significance,2
comes,108
down,2
weight,2
pure,2
realitybr,1
look,14
soundtrack,1
horner,1
seems,31
forgotten,2
maybe,1
period,2
1970s,2
hangover,1
picture,3
reminds,4
deeply,3
childhood,8
80s,1
modern,9
styles,3
lived,25
remember,11
images,3
understated,2
knowing,13
overall,4
result,9
under,5
skin,5
person,3
grew,12
up,5
era,1
north,1
america,1
sees,34
truly,15
isbr,1
please,3
seebr,1
black,8
stallion,1
1979,2
cry,1
wolf,1
1983,6
tender,8
mercies,1
testament,3
places,1
heart,4
1984,2
matewan,1
1987,1
high,7
tide,3
driving,8
miss,3
daisy,2
1989,1
garden,4
1993,1
roan,1
inish,1
1994,5
wendy,1
lucy,1
2008,1
yes,1
stars,2
plain,2
fill,3
universe,4
sent,122
trent,1
harris,1
young,3
caught,20
tape,3
true,2
misfit,8
glory,5
just,7
cant,1
fake,5
bad,15
ended,1
tragedy,5
alternate,6
fellows,2
other,14
trilogy,4
retell,1
sean,1
penn,1
crispin,1
glover,1
men,4
respectively,2
expanded,10
strangeness,1
contextualized,1
retelling,2
giving,38
broader,8
glimpse,49
growing,20
weird,1
vanilla,1
recommended,1
anyone,3
everyone,5
hello,1
iswellokay,1
kidding,2
awesome,5
block,2
buster,2
smash,2
hit,5
meant,56
sisters,1
we,2
rockin,1
ramones,1
done,1
heard,15
mixed,2
reviews,3
production,8
waiting,11
cheers,3
supporting,8
gave,255
eva,1
mendez,1
needed,12
take,10
else,3
states,1
portion,1
riveting,5
katie,1
cassidy,1
amazing,1
being,10
work,19
quite,17
ahead,3
completely,25
enjoyed,3
questioned,2
priorities,3
am,73
lies,4
romp,3
cheech,1
chongs,1
includes,1
drugs,1
singing,3
cars,3
pee,1
wee,1
aliens,1
gasoline,2
laundry,6
stand,11
comedy,2
surprisingly,1
coke,2
coherent,1
plausible,1
smoke,1
incredibly,6
without,6
becoming,31
nice,3
dreams,2
classic,3
include,30
gas,7
car,1
drive,3
cheechs,1
song,6
mexicanamericans,1
follow,8
notable,1
welfare,3
office,1
jones,1
noise,5
machine,1
academy,2
series,6
laughing,2
watchable,1
sober,1
notbr,1
rehab,3
ok,1
heres,1
excellent,2
huge,14
nancy,1
fan,8
read,5
156,1
original,1
books,3
went,19
96,1
beware,2
villains,3
lower,3
grade,2
than,68
clues,5
point,3
current,3
fashioned,4
havent,1
complaining,3
view,9
emma,1
parts,5
exciting,3
chases,5
aways,2
solved,3
mystery,13
suggest,46
since,2
nothing,5
b,1
drew,1
kind,7
introduce,3
sweetly,2
violence,6
addictions,1
babe,1
casino,1
constantine,1
carton,1
dont,1
rated,8
hate,3
spescially,1
cartoncan,1
end,2
ruining,14
happy,2
sounds,15
bitter,3
personbut,1
goes,20
heaven,1
waybr,1
critic,4
touching,2
gotta,10
worth,16
seeing,5
jared,1
outstanding,3
lennon,1
doesnt,1
matter,2
resemble,21
mannerisms,8
expressions,3
posture,3
accent,3
attitude,1
cafe,2
verbally,4
sparring,10
stuttering,1
paul,1
mccartney,1
wings,1
silly,7
tv,1
credible,1
alexandra,1
bastedo,1
gorgeous,3
order,10
15,1
didnt,1
superpowers,1
superior,13
skills,1
strength,4
hearing,8
sight,1
3,3
rolls,8
believable,1
episode,5
special,2
effects,1
explosions,1
everywhere,2
suppose,23
performs,34
fancy,7
stuff,6
shows,12
try,5
2,3
minutes,1
light,7
anybody,2
loaded,7
satellite,1
fired,2
pointed,22
direction,4
galaxy,1
andromeda,1
distant,1
possible,1
civilizations,1
humanity,2
endearingly,1
stupid,1
revealingly,1
honest,2
ripoff,1
king,3
kong,1
1976,3
manages,34
upstage,1
sheer,28
belly,8
idiotic,1
goofiness,1
successfully,1
predicted,2
peter,1
jacksons,1
miserable,8
2005,1
computer,4
cartoon,2
bearing,11
romance,5
between,9
giant,9
yeti,1
female,1
antonellina,1
interlenghi,1
umberto,1
lenzis,1
city,1
dead,2
eyesbr,1
aside,1
innuendo,5
bones,3
nipple,3
tweak,1
goodbye,1
forget,11
sex,2
sort,6
jock,4
strap,2
cover,1
monstrous,1
package,1
amusing,1
anatomical,2
correctness,1
tradeoff,1
wacky,3
scientist,3
inquisitive,2
tony,1
kendall,1
rare,13
turn,25
duplicitous,4
bastard,2
villain,1
helpful,15
intelligent,4
collie,1
adventure,2
movies,7
europe,1
emerges,10
saving,2
turns,9
guy,14
glorious,6
loaders,1
decorated,11
ape,1
hands,5
monster,2
whos,2
size,3
literally,2
changes,5
scale,1
inappropriately,2
deaths,1
will,14
carnage,3
godzilla,1
vs,8
smog,1
tame,6
comparison,7
crowd,1
reaction,2
shots,1
aplenty,1
either,1
spanish,1
italian,1
canadian,1
extras,1
depending,1
tell,4
shooting,3
dressed,1
enthusiastically,9
staged,2
inept,1
monkey,2
moviebr,1
won,4
enthusiasm,1
frank,1
kramer,1
gianfranco,1
parolini,1
sartana,1
1968,6
reviewers,1
page,2
1972,1
fashion,2
study,2
culture,21
decades,1
cheese,1
ball,2
compared,6
left,8
our,40
right,1
cheezy,1
however,1
30,3
past,4
carefully,10
preserved,5
refuse,18
fear,1
spoiling,8
sends,52
attention,6
minethis,1
feuding,4
york,1
steve,1
brodieraft,1
chuck,1
connorsbeerywho,1
strive,6
bowery,1
late,9
nineteenth,3
centurybr,1
brodie18631901,1
connors18521913were,1
peoplethough,1
heavily,50
fictionalized,9
account,4
anticsbased,1
playbrodies,1
legendarydid,1
cause,5
argumentjump,1
bridge1886for,1
became,4
famousis,1
happening,4
around,4
spanishamerican,1
war1898director,1
walsh,1
clearly,4
affection,6
periodso,1
recreated,3
hereand,1
wild,1
rumbustious,1
ragtime,1
number,32
saloon,1
singer,1
trixie,1
odbraya,1
pert,2
keltonraft,1
slickest,2
brodieand,1
beery,1
actor,1
might,278
seen,1
star,3
wars,1
return,1
jedi,1
may,6
knows,19
video,10
mmight,1
party,5
spirits,2
partying,2
ben,1
obiwan,1
dies,1
imperial,1
ship,1
disappear,3
yoda,1
age,6
internal,3
illness,1
luke,1
killed,7
darth,1
vader,1
anakin,1
skywalker,1
stops,6
stands,12
starring,2
smiling,1
lol,1
taken,23
seriously,3
mans,1
twisted,4
views,7
ladies,3
lowly,3
bus,1
station,3
skank,1
highclass,1
débutante,1
tim,1
meadows,1
leon,1
phelps,1
raised,1
playboystyle,1
mansion,5
hugh,1
hefneresquire,1
father,6
figure,1
constantly,51
porn,2
models,1
actresses,2
kicks,1
street,2
learn,20
fend,8
himself,4
chauvinistic,3
outlook,1
youth,5
taught,1
unfathomable,3
mystical,10
level,2
charm,2
dumb,5
luck,1
hijinx,1
begin,23
lighthearted,1
semimindless,1
comedylove,1
renting,13
hood,1
credits,2
began,2
play,13
invokes,3
holiness,1
romero,1
instantly,12
sets,3
standard,2
many,5
cannot,41
afford,16
aspire,8
second,3
moviewatching,1
companion,3
professed,2
doubt,3
urban,1
surpass,8
seminal,11
leprechaun,1
skeptical,1
settled,18
rewarded,2
sincere,1
goodhearted,2
zombie,7
oh,1
certainly,5
budget,2
low,3
directors,4
amateurs,1
populate,7
loves,7
cinema,1
cheap,2
yeah,1
ricky,1
works,5
lab,2
during,19
surrogate,8
parent,5
younger,11
night,2
oakland,1
planned,6
escape,11
driveby,1
rickys,1
scientific,26
mind,1
presents,3
option,7
cpr,1
911,1
injections,2
labs,3
experimental,3
regenerative,1
formula,5
sadly,2
bro,3
wakes,20
ambulance,2
bloodthirsty,2
chaos,1
mayhem,3
economical,3
enemies,2
vengeance,2
poor,4
judge,1
complexities,1
gory,14
involving,4
four,4
opined,2
ahha,1
white,5
tshirts,1
blood,1
used,9
technique,7
lowbudget,1
jordan,1
replied,1
gang,1
dress,3
banned,2
orleans,1
bars,1
ohbr,1
set,10
someones,1
room,7
deal,9
hanging,15
zombies,1
sympathetic,9
surpasses,22
spirit,1
explanation,1
god,1
arise,2
fdaapproved,1
testing,8
rules,1
experimentation,9
contribution,8
canon,1
pierce,1
brosnan,1
newest,3
longer,3
bond,1
assassin,11
hes,1
getting,16
tired,1
greg,1
kinnair,1
straight,1
narrow,3
business,1
opens,1
separate,11
lives,2
drinks,1
bar,3
sudden,2
find,53
drawn,2
events,1
notch,1
humor,5
hilarious,1
filmspilot,1
battlestar,1
galactica,1
helps,16
isnt,1
necessary,4
bsg,1
away,1
future,2
astonishing,20
released,1
theatrically,1
leads,14
chosen,9
experienced,8
stoltz,1
reunited,1
whis,1
daughter,3
cost,6
paula,1
malcomson,1
deadwood,1
fame,2
terrific,6
motives,2
pilot,3
intriguing,5
zoe,1
relative,10
unknown,5
alessandra,1
torresani,1
esai,1
morales,1
desire,2
wrong,2
considering,11
wants,10
moral,1
objections,4
idea,9
announced,14
thrilled,8
got,14
stage,4
adama,1
child,1
affected,1
influenced,23
different,13
sorts,1
robots,1
starting,2
permeate,4
keep,9
couldnt,1
strong,2
restraints,1
mike,1
sullivans,1
tom,1
hanks,1
tyler,1
hoechlin,1
drives,5
emotional,1
wheel,1
basis,10
veteran,2
newman,1
performances,2
timebr,1
bold,2
graphic,2
novel,1
max,1
allan,1
richard,1
piers,1
rayner,1
fatherson,1
basically,2
employs,6
candidates,1
solely,19
unfit,2
sullivan,1
rooney,1
took,16
generous,2
organized,16
therefore,1
debt,3
paid,20
trying,50
safe,3
boss,1
test,1
loyalty,1
embrace,1
familys,2
fatebr,1
adaptation,6
david,1
self,1
dialogue,8
seldomly,1
yet,2
virtuous,1
unfolds,1
1930s,2
setting,4
brilliant,6
art,1
l,1
johnson,1
haigh,1
covered,3
rainy,15
snow,5
ground,7
exterior,1
newmans,1
irish,1
score,1
settling,8
necessarybr,1
important,3
technical,13
element,6
conrad,1
halls,3
photography,1
few,42
australians,1
watching,16
tennis,1
william,1
mcinnes,1
appeared,3
crappy,17
toned,15
totally,23
rotten,2
hugo,1
speers,1
monty,1
seachange,1
quiet,5
longs,12
rippling,1
muscles,2
sigh,2
total,6
shock,2
stole,6
martin,1
sacks,3
evaluation,1
810br,1
compare,11
today,1
brainless,5
effet,1
ideas,4
soylent,1
green,2
ask,15
anymore,2
thinkbr,1
surprise,1
cookies,1
create,49
body,3
planet,1
indifferent,1
possiblebr,1
rich,1
paradise,1
idiocy,1
showbr,1
wash,4
brain,2
pity,3
intelligence,2
progress,1
technologies,1
writing,7
stopbr,1
politician,1
yourself,4
question,1
stewart,1
western,1
tale,2
revenge,1
fate,6
winchester,1
rifle,1
saying,13
adding,3
cold,1
obsession,9
usual,5
laid,1
cowboy,1
follows,64
owners,3
competition,2
huntingbr,1
meet,2
selection,1
gamblers,3
gun,1
fighters,3
indian,1
traders,2
robers,1
rifles,1
path,3
battles,4
heists,1
etc,1
dan,1
durya,1
standing,2
waco,1
johnny,1
dean,1
livewire,1
gunfighter,2
itchy,1
trigger,4
finger,4
trivia,1
note,1
appearance,1
rock,4
hudson,1
chiefbr,1
showdown,5
tense,7
battle,3
fought,12
range,1
rocky,1
outcrop,2
throw,9
fist,5
fights,1
shootouts,1
horseback,1
810,1
rieser,1
wrote,4
huh,1
wellwell,1
falk,1
appreciate,37
colombo,1
fly,5
wall,2
practically,30
giddy,7
enjoyment,12
hadnt,1
drinkingbr,1
wanted,5
phone,3
nihilistic,1
brutal,2
tragic,3
ones,1
actionmelodrama,1
plot,4
tears,4
delivering,27
shocking,1
revelations,4
bonecrunching,1
blow,1
guts,1
chilling,13
edison,1
chen,1
hkcop,1
cambodian,1
killer,5
hunting,6
losing,27
featuring,15
dialog,2
favor,1
haunting,3
imagery,2
gritty,3
camerawork,1
bite,1
hkbloodshed,1
heroism,1
bodybuilder,2
fans,1
sue,1
price,1
nemesis,1
234,1
proved,62
fighter,1
striking,3
iron,1
resist,2
nebula,1
value,3
prices,2
itself,3
priceless,1
copied,14
scifi,1
terminator,1
predator,1
apuyn,1
casted,2
put,20
energy,2
talent,4
boring,1
sequel,12
hasnt,1
enough,1
credit,7
saturday,1
fever,1
grease,2
travoltas,1
girl,4
pig,1
headed,2
feelings,1
engage,1
mechanical,27
bull,1
riding,1
thinks,5
manhood,2
1980,1
timely,6
country,2
1010,1
train,3
wreck,1
motion,14
nonetheless,2
edie,1
seem,60
members,4
repeatedly,9
infinitely,12
quotable,7
goddamned,1
shut,1
edies,1
costume,2
promises,6
forever,1
dancer,1
hong,1
vcddvd,1
distributors,3
us14,1
delightful,1
enjoymentbr,1
adultery,1
common,4
days,1
grabbed,20
kidnapped,6
nick,1
chase,4
luis,1
charlotte,1
italy,1
commits,12
nickbr,1
indie,2
vivian,1
naefe,1
dealt,24
teething,2
problems,1
marriage,1
dare,10
treat,2
fastfood,1
higher,2
mobility,3
physical,37
mental,35
technology,3
areas,1
conjugal,1
commitment,2
asks,2
choose,6
succumb,1
circumstances,1
trusted,3
fell,5
kidnap,1
journey,5
forced,9
mesmerizing,2
breathtaking,1
horrifying,4
hauntingly,4
apocalypse,1
fiction,1
pace,3
glimpses,21
poisoned,8
patches,1
earth,2
signs,2
inevitable,2
doombr,1
plagued,5
greed,2
essence,8
evolution,8
turned,31
cancer,1
consume,1
host,2
die,2
itbr,1
manufactured,2
landscapes,2
unforgettable,15
experience,1
least,20
regard,15
toaster,2
miniseries,3
interpretation,1
beloved,11
jane,1
eyre,1
dalton,1
clarke,1
rochester,1
none,1
13,3
bookworm,1
brontes,1
enchanted,1
missing,2
glance,2
sidewalk,2
noirish,3
qualities,17
directed,9
otto,1
preminger,1
dana,1
andrews,1
gene,1
tierney,1
comparisons,6
posh,3
sophisticated,4
means,1
themselves,6
mixedup,1
murder,3
strata,1
barely,5
nickels,1
rub,2
accustomed,18
underbelly,1
society,2
parties,2
desperate,2
solve,1
fists,7
weapon,4
smalltime,1
hoods,1
dimeadozen,1
cops,1
routinely,8
beat,8
confessions,1
crooks,3
caughtup,1
investigation,6
breathingbr,1
entire,361
beatdown,1
cop,1
det,1
sgt,1
mark,1
dixon,1
roughing,3
confession,2
accidentally,17
castle,2
aka,1
terror,1
wellcrafted,1
entry,3
anthony,1
dawson,1
exquisite,1
flawless,3
dubbing,1
casting,6
fairly,34
logical,2
scripting,4
deliberate,3
pacing,2
apart,1
hokey,1
abrupt,1
elizabeth,1
alan,1
georges,1
rivière,1
mar,3
otherwise,2
entertaining,2
visiting,1
england,1
edgar,1
poe,1
sits,22
pub,1
telling,1
ghostly,12
count,5
blackwood,1
recognizing,1
writer,2
reporter,8
requests,3
interview,13
reveals,11
cuban,1
sleeper,1
traditional,9
sailing,10
cuba,1
caribbean,1
cruise,1
details,1
11,3
year,5
1958,1
1959,1
revolution,1
spent,19
until,11
socialist,3
regime,1
property,4
majority,50
coming,16
relationships,1
relate,1
class,3
fine,4
directing,3
grand,5
schemes,2
twists,1
mistakes,1
triumphs,11
henri,1
verneuils,1
parallax,1
condor,1
jfk,1
worse,2
representatives,4
genre,4
place,14
fictional,5
state,10
president,1
several,6
government,2
commission,2
decides,165
lone,2
gunman,1
prosecutor,3
volney,1
yves,1
montand,1
investigated,3
theories,3
embraces,2
structure,1
relationship,1
todays,1
1970ies,1
lose,4
actuality,4
furthermore,2
frightful,1
precise,4
oracles,1
schizophreniac,1
relentlessly,11
explores,26
extreme,6
harry,1
russo,1
aggravated,3
drug,8
addict,1
scumbag,3
stop,34
destroy,39
insanity,2
driven,2
demonic,5
voices,5
ventriloquist,2
dummy,5
rubberneck,1
begins,5
killing,3
spree,2
ron,1
atkins,1
1st,1
installment,3
vilest,1
filmedbr,1
similar,2
2nd,4
entitled,11
necromaniacbr,1
disturbing,7
horrific,7
choicebr,1
screambr,1
viewer,6
discretion,1
advised,11
longstanding,1
barbra,1
posting,3
biased,1
ranks,13
emphasized,1
postings,1
fascinating,3
unfold,1
screenbr,1
streisand,1
satisfied,2
fresh,4
heavyduty,1
actingbr,1
rough,7
throughout,1
extended,14
frame,1
finale,8
nonbarbra,1
speaks,6
volumes,16
admire,6
talentbr,1
run,6
decided,21
pleased,14
deceased,29
chance,10
stayed,60
devoted,35
23,2
realized,5
ago,2
makers,19
words,1
title,3
primarily,23
act,3
giants,1
mostly,11
sport,2
change,9
emphasisbr,1
teens,4
wedge,1
hardestbreaking,1
bodysurfing,1
spots,2
15to18,1
foot,1
surf,1
ridden,8
hammered,6
12foot,1
waves,1
occasions,2
complete,4
awe,2
surfers,2
jeff,1
clark,1
son,1
2002,1
gay,5
lesbian,2
mardi,1
gras,1
festival,1
sydney,1
australiabr,1
estranged,5
funeral,3
discovering,36
dying,7
aids,3
enter,1
warming,6
reconciliation,4
magnificent,5
creating,30
gradual,7
warmth,4
builds,14
progresses,3
qualm,4
whilst,1
acts,4
sick,4
0,2
t4,1
cells,2
employed,3
gripe,4
premise,4
simple,3
woods,1
stumble,7
tries,17
convince,36
occurred,7
provided,27
narrative,1
cameras,1
engaging,3
gray,2
conveys,4
loneliness,2
complements,6
quietness,2
helplessness,1
inability,24
parallels,9
silenced,1
childs,1
storybr,1
hopelessness,10
irrationality,1
addresses,13
elements,2
visuals,6
relying,19
gore,2
list,3
amazingly,11
detailed,2
tid,1
bits,4
bustelo,1
coffee,2
crate,1
reused,2
cup,4
grandsons,1
hair,2
arent,1
understand,7
unless,9
hispanic,1
culturally,4
specific,4
particular,12
bash,3
prior,9
knowledge,6
foundation,1
built,8
target,1
deserving,3
rating,3
6,24
doodlebops,1
energetic,1
vibrant,5
appealing,6
join,20
impossible,2
brings,75
color,3
preachy,5
messages,8
independent,17
tall,1
grass,2
crew,3
spoil,38
everything,1
kip,1
giovanni,1
ribsi,1
thief,1
messes,5
delivery,9
50,4
threatened,2
objective,3
randall,1
nicolas,1
cage,1
retired,13
booster,1
kips,1
randalls,1
forbidden,1
sf,1
golden,1
spaceship,1
lands,10
audience,1
via,9
ships,1
travels,2
terrifying,2
unforgetable,1
robbie,1
mysterious,9
dr,1
morbuis,1
innocent,9
altair,1
former,19
inhabitants,6
krell,1
died,1
overnight,1
nitpick,1
obviously,4
studio,1
painted,24
backdrops,6
adds,96
menace,1
claustraphobia,1
feel,15
bebe,1
louis,1
barrons,1
electronic,3
atmosphere,8
shocked,12
halfway,3
lajos,1
koltais,1
evening,1
woman,6
deathbed,1
appearing,19
hallucination,1
line,6
embarrassingly,2
theatrical,6
vanessa,1
redgrave,1
utter,34
simplicity,4
outbr,1
susan,1
